q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,metric
16.0,91,573,27,0.17419354838709677,0.08665385984471832,0.09584503037095604,0.00019941112673079318,2.0102226109632912,212.0225806451613,184.0,-0.033109560619057565,0.22479962136096965,P0,F4_KelvinOp
17.0,97,573,28,0.1686746987951807,0.09286367473140028,0.08357180938745129,0.0008645647200110193,1.8163689869376471,213.3855421686747,184.0,-0.043559415387247835,0.21070303416215042,P0,F4_KelvinOp
18.0,103,573,30,0.17045454545454544,0.09914492971776269,0.07915770037731096,0.0014199583253178543,1.719246218034355,208.82386363636363,178.5,-0.046610004215743295,0.2049254049703652,P0,F4_KelvinOp
19.0,108,573,32,0.17391304347826086,0.10443477276239174,0.07758035774811899,0.0016877206663233847,1.665279091227066,206.46195652173913,178.5,-0.05033798207426492,0.20549869757050288,P0,F4_KelvinOp
20.0,114,573,35,0.18134715025906736,0.11085023542627534,0.07928575999408782,0.0013811352523759206,1.6359654046894503,205.2642487046632,176.0,-0.05038737600747639,0.20895889599565204,P0,F4_KelvinOp
21.0,120,573,40,0.2,0.11734072027853504,0.09364800395861608,0.0002357620418884925,1.70443814837044,201.73,171.0,-0.041130145918940014,0.22842615383617218,P0,F4_KelvinOp
22.0,126,573,45,0.21739130434782608,0.12390754979930439,0.10670535344426994,4.01141689413262e-05,1.7544637489801005,199.6086956521739,170.0,-0.025980653647505056,0.23939136053604493,P0,F4_KelvinOp
23.0,131,573,49,0.2300469483568075,0.12943920253995603,0.11556659352268737,1.1072680925754834e-05,1.7772586963041224,200.81690140845072,172.0,-0.012316548134842967,0.24344973518021773,P0,F4_KelvinOp
24.0,137,573,52,0.23423423423423423,0.13614953768030674,0.11354360602012199,1.5055158643997259e-05,1.7204188734319505,200.31981981981983,175.5,-0.010558948077954919,0.2376461601181989,P0,F4_KelvinOp
25.0,143,573,54,0.23275862068965517,0.1429401392933665,0.10479837583600593,5.4066288112744586e-05,1.628364305787807,199.08189655172413,177.0,-0.01696123821341737,0.22655798988542925,P0,F4_KelvinOp
26.0,148,573,57,0.2384937238493724,0.14866133274015444,0.10551898388259077,4.976779880082748e-05,1.6042754323091952,196.50627615062763,172.0,-0.015527629894376574,0.22656559765955814,P0,F4_KelvinOp
27.0,154,573,63,0.2571428571428571,0.15560287751019589,0.12025145151283637,5.794400330633544e-06,1.6525584954301877,194.84489795918367,170.0,-0.0023021393382705313,0.24280504236394326,P0,F4_KelvinOp
28.0,160,573,69,0.2749003984063745,0.16262888566726297,0.13407617102791464,6.552731866692647e-07,1.6903540676581765,193.6414342629482,169.0,0.010366027771483571,0.25778631428434573,P0,F4_KelvinOp
29.0,166,573,72,0.27692307692307694,0.16974090852766702,0.1290948446048803,1.5436610941655865e-06,1.6314457093761796,191.69230769230768,167.5,0.004816404931263632,0.253373284278497,P0,F4_KelvinOp
30.0,171,573,76,0.2857142857142857,0.17573444559908336,0.13342767937832442,7.907899650586801e-07,1.6258297270081468,190.25375939849624,165.0,0.007439381588848992,0.25941597716779985,P0,F4_KelvinOp
31.0,177,573,79,0.2872727272727273,0.1830083192418814,0.1276199139923859,2.14493430065993e-06,1.5697249636670343,189.98363636363635,165.0,0.0010960153932768613,0.25414381259149493,P0,F4_KelvinOp
32.0,183,573,83,0.29328621908127206,0.1903728151227539,0.12711209045447464,2.464729161936949e-06,1.5405887594410934,188.51060070671377,165.0,0.0006431162013532388,0.253581064707596,P0,F4_KelvinOp
33.0,189,573,83,0.28135593220338984,0.19782963807008228,0.10412538046451147,7.966331504456383e-05,1.422213248470474,187.62542372881356,165.0,-0.022498763356652324,0.23074952428567527,P0,F4_KelvinOp
34.0,194,573,90,0.30201342281879195,0.20411544453627195,0.12300524945540503,5.280067505325749e-06,1.4796206308882385,186.99161073825502,162.0,-0.00855476951431075,0.25456526842512084,P0,F4_KelvinOp
35.0,200,573,95,0.3114754098360656,0.2117461055962624,0.12651926612458017,3.2733381914922212e-06,1.4709853055335889,186.0311475409836,161.0,-0.012415417052162675,0.26545394930132304,P0,F4_KelvinOp
36.0,206,573,104,0.33766233766233766,0.21947416273996465,0.15142122051623788,5.473186450384396e-08,1.5385060976968101,186.32305194805195,162.0,0.00717729164108219,0.29566514939139354,P0,F4_KelvinOp
37.0,212,573,113,0.3633440514469453,0.22730149363603225,0.17606162907066927,5.996190821387547e-10,1.5985114995713665,185.9823151125402,163.0,0.03170336232164092,0.32041989581969765,P0,F4_KelvinOp
38.0,217,573,118,0.37341772151898733,0.23390149173608848,0.18211265036798271,1.991915544285599e-10,1.5964743052614443,185.15348101265823,160.5,0.040345737746636745,0.3238795629893287,P0,F4_KelvinOp
39.0,223,573,124,0.38509316770186336,0.24191586374086366,0.18886729996425794,5.772582477395915e-11,1.5918475198235404,184.5947204968944,162.0,0.05138213455003629,0.3263524653784796,P0,F4_KelvinOp
