q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,cluster_boot_ci95_low,cluster_boot_ci95_high,panel,metric
45.0,257,573,155,0.43175487465181056,0.28937380606327734,0.20036000615143587,0.0655921360801108,0.33512787622276097,P0,F4_KelvinOp
46.0,263,573,159,0.4332425068119891,0.2981280897313316,0.19250580498219014,0.05856880324338623,0.326442806720994,P0,F4_KelvinOp
47.0,269,573,165,0.44235924932975873,0.3070021521112328,0.1953210931763991,0.06106217059403113,0.32958001575876705,P0,F4_KelvinOp
48.0,275,573,172,0.455026455026455,0.3159984701785904,0.20325683318890284,0.06906813311285026,0.3374455332649554,P0,F4_KelvinOp
49.0,280,573,175,0.45454545454545453,0.32359062621322854,0.19360291771105417,0.058800407551481776,0.32840542787062654,P0,F4_KelvinOp
50.0,286,573,179,0.455470737913486,0.33281774305900164,0.1838373151840743,0.04940127285188503,0.3182733575162636,P0,F4_KelvinOp
1.0,2,207,0,0.0,0.006456857870956645,-0.006498819826907944,-0.008584268867228271,-0.004413370786587618,P2,F1_Frobenius
2.0,4,207,0,0.0,0.011122815779594241,-0.011247924370267537,-0.01425665199211117,-0.008239196748423903,P2,F1_Frobenius
3.0,6,207,0,0.0,0.01600382210473546,-0.01626411002832055,-0.024894393478102524,-0.0076338265785385745,P2,F1_Frobenius
4.0,8,207,0,0.0,0.020966898074285582,-0.02141592356075053,-0.04399996201344457,0.0011681148919435065,P2,F1_Frobenius
5.0,10,207,0,0.0,0.025991658248233813,-0.026685252203782456,-0.07850329652753248,0.025132792119967565,P2,F1_Frobenius
6.0,12,207,0,0.0,0.031072415432779176,-0.03206887276994794,-0.13599194543206083,0.07185419989216495,P2,F1_Frobenius
7.0,14,207,0,0.0,0.036207304103381195,-0.03756752282678118,-0.1938628416357865,0.11872779598222415,P2,F1_Frobenius
8.0,16,207,0,0.0,0.04139582470386405,-0.04318343876509392,-0.24063114313492187,0.15426426560473402,P2,F1_Frobenius
9.0,18,207,1,0.02857142857142857,0.04663807212234519,-0.018950456298518267,-0.23586265355075658,0.19796174095372004,P2,F1_Frobenius
10.0,20,207,2,0.05263157894736842,0.051934439199011924,0.0007353286282939176,-0.22331580897186745,0.2247864662284553,P2,F1_Frobenius
11.0,22,207,4,0.1,0.05728548595055176,0.0453101266744767,-0.17970880428915553,0.27032905763810894,P2,F1_Frobenius
12.0,24,207,4,0.09090909090909091,0.06269187579404333,0.030104524207503144,-0.1908593117804649,0.2510683601954712,P2,F1_Frobenius
13.0,26,207,5,0.10638297872340426,0.06815434199363612,0.041024644372498704,-0.17321005588571148,0.2552593446307089,P2,F1_Frobenius
14.0,28,207,6,0.12,0.07367366895097721,0.05001081098122333,-0.16113378458562244,0.26115540654806907,P2,F1_Frobenius
15.0,31,207,6,0.10714285714285714,0.08206108652851644,0.027324008434816045,-0.1790939053819217,0.2337419222515538,P2,F1_Frobenius
16.0,33,207,7,0.11864406779661017,0.08772624567645379,0.033890947726630635,-0.1705207077927956,0.2383026032460569,P2,F1_Frobenius
17.0,35,207,8,0.12903225806451613,0.09345129076599037,0.03924882020800622,-0.16799840121970944,0.24649604163572186,P2,F1_Frobenius
18.0,37,207,8,0.12121212121212122,0.09923714989278395,0.024395956512551137,-0.19207353775281372,0.240865450777916,P2,F1_Frobenius
19.0,39,207,8,0.11428571428571428,0.10508477630537333,0.010281351503168308,-0.21937388890382253,0.23993659191015915,P2,F1_Frobenius
20.0,41,207,8,0.10810810810810811,0.11099514776220629,-0.0032474959465417386,-0.24846771251757757,0.24197272062449407,P2,F1_Frobenius
21.0,43,207,9,0.11688311688311688,0.1169692662424416,-9.75609976315607e-05,-0.2610115209520276,0.26081639895676445,P2,F1_Frobenius
22.0,45,207,11,0.13924050632911392,0.12300815790549867,0.018509121344672794,-0.2520588668569429,0.2890771095462885,P2,F1_Frobenius
23.0,47,207,12,0.14634146341463414,0.12911287323072992,0.019782804974758456,-0.26052411092618044,0.3000897208756974,P2,F1_Frobenius
24.0,49,207,14,0.16666666666666666,0.1352844872914943,0.03629191209589325,-0.24839365539960614,0.32097747959139267,P2,F1_Frobenius
25.0,51,207,16,0.18604651162790697,0.1415241001326649,0.05186215652893968,-0.23592921580530243,0.3396535288631818,P2,F1_Frobenius
26.0,53,207,18,0.20454545454545456,0.14783283723031132,0.06655104748558668,-0.22361240245271505,0.3567144974238884,P2,F1_Frobenius
27.0,55,207,20,0.2222222222222222,0.1542118500188111,0.08041064680904281,-0.20936578087110908,0.3701870744891947,P2,F1_Frobenius
28.0,57,207,22,0.2391304347826087,0.16066231647509882,0.09348813933621261,-0.1951563489022287,0.38213262757465394,P2,F1_Frobenius
29.0,60,207,24,0.25,0.17047463565771853,0.09586851440683307,-0.19083444532432436,0.38257147413799053,P2,F1_Frobenius
30.0,62,207,26,0.2653061224489796,0.1771090699615144,0.10717951707565952,-0.17728038519232864,0.3916394193436477,P2,F1_Frobenius
31.0,64,207,27,0.26732673267326734,0.18381929942755854,0.10231488344081098,-0.17864641907037498,0.3832761859519969,P2,F1_Frobenius
32.0,66,207,28,0.2692307692307692,0.19060662994319472,0.09713958897644104,-0.1824626957967811,0.37674187374966317,P2,F1_Frobenius
33.0,68,207,30,0.2830188679245283,0.19747239794244414,0.10659629620558386,-0.17265573954149727,0.385848331952665,P2,F1_Frobenius
34.0,70,207,31,0.28440366972477066,0.2044179712589868,0.10053733691340293,-0.17749902168226173,0.3785736955090676,P2,F1_Frobenius
35.0,72,207,33,0.2972972972972973,0.2114447500158511,0.10887321754965422,-0.16872610814193006,0.38647254324123853,P2,F1_Frobenius
36.0,74,207,35,0.30973451327433627,0.21855416755207283,0.11668159447038752,-0.16019728610063594,0.39356047504141095,P2,F1_Frobenius
37.0,76,207,36,0.3103448275862069,0.2257476913868653,0.10926300801204543,-0.16687208015426486,0.3853980961783557,P2,F1_Frobenius
38.0,78,207,37,0.31092436974789917,0.2330268242220785,0.10156488908078326,-0.17279772988496012,0.37592750804652664,P2,F1_Frobenius
39.0,80,207,38,0.3114754098360656,0.24039310498392288,0.09357775096372478,-0.17947589739834302,0.3666313993257926,P2,F1_Frobenius
40.0,82,207,40,0.3225806451612903,0.24784810990510914,0.09935830281135499,-0.17220213801817574,0.37091874364088573,P2,F1_Frobenius
41.0,84,207,43,0.344,0.25539345364871047,0.11899780734601119,-0.1539403328270072,0.39193594751902955,P2,F1_Frobenius
42.0,86,207,45,0.3543307086614173,0.2630307904751997,0.12388566171589178,-0.14911491289035023,0.39688623632213377,P2,F1_Frobenius
43.0,89,207,48,0.36923076923076925,0.27466300217769113,0.13037769662515558,-0.14346744943277845,0.4042228426830896,P2,F1_Frobenius
44.0,91,207,49,0.3684210526315789,0.2825378300197272,0.11970418261106805,-0.15880456472750135,0.3982129299496374,P2,F1_Frobenius
